
{'episode': 0, 'epsilon': 1.0, 'ep_reward': -2.1368467322967177}
{'episode': 100, 'epsilon': 0.6666666666666666, 'ep_reward': -208.12661940926574, 'loss': 59.22059631347656, 'q_mean': -9.431541442871094, 'num_update': 11096}
{'episode': 200, 'epsilon': 0.5, 'ep_reward': -20.851152546657943, 'loss': 59.85059356689453, 'q_mean': -5.811127662658691, 'num_update': 31788}
{'episode': 300, 'epsilon': 0.4, 'ep_reward': 112.87206175851732, 'loss': 11.504470825195312, 'q_mean': 11.346739768981934, 'num_update': 77902}
{'episode': 400, 'epsilon': 0.3333333333333333, 'ep_reward': 138.79377771062346, 'loss': 2.7791523933410645, 'q_mean': 23.239107131958008, 'num_update': 159002}
{'episode': 500, 'epsilon': 0.2857142857142857, 'ep_reward': 106.82732336100199, 'loss': 4.222414016723633, 'q_mean': 24.409772872924805, 'num_update': 237430}
{'episode': 600, 'epsilon': 0.25, 'ep_reward': 56.07492891230585, 'loss': 4.205683708190918, 'q_mean': 32.40513610839844, 'num_update': 318451}
{'episode': 700, 'epsilon': 0.2222222222222222, 'ep_reward': 95.48288717817503, 'loss': 30.837013244628906, 'q_mean': 32.79735565185547, 'num_update': 400311}
{'episode': 800, 'epsilon': 0.2, 'ep_reward': 206.39563458359788, 'loss': 12.880217552185059, 'q_mean': 35.96924591064453, 'num_update': 473203}
{'episode': 900, 'epsilon': 0.18181818181818182, 'ep_reward': 239.75048441318015, 'loss': 3.2494258880615234, 'q_mean': 35.14496612548828, 'num_update': 533276}
{'episode': 1000, 'epsilon': 0.16666666666666666, 'ep_reward': 300.0793061492702, 'loss': 15.687582015991211, 'q_mean': 37.86859130859375, 'num_update': 589394}
{'episode': 1100, 'epsilon': 0.15384615384615385, 'ep_reward': 249.85473315803202, 'loss': 2.167511463165283, 'q_mean': 41.449310302734375, 'num_update': 640781}
{'episode': 1200, 'epsilon': 0.14285714285714285, 'ep_reward': 229.64116999127486, 'loss': 0.9597310423851013, 'q_mean': 43.78106689453125, 'num_update': 685997}
{'episode': 1300, 'epsilon': 0.13333333333333333, 'ep_reward': 221.51570055040304, 'loss': 1.758897304534912, 'q_mean': 43.14638900756836, 'num_update': 735165}
{'episode': 1400, 'epsilon': 0.125, 'ep_reward': 242.91736921507567, 'loss': 2.574910879135132, 'q_mean': 44.97042465209961, 'num_update': 781433}
{'episode': 1500, 'epsilon': 0.11764705882352941, 'ep_reward': 242.09455191681124, 'loss': 0.7636669874191284, 'q_mean': 48.588478088378906, 'num_update': 821466}
{'episode': 1600, 'epsilon': 0.1111111111111111, 'ep_reward': 227.8469625317341, 'loss': 0.8366488218307495, 'q_mean': 48.158329010009766, 'num_update': 857281}
{'episode': 1700, 'epsilon': 0.10526315789473684, 'ep_reward': 249.99091266529098, 'loss': 21.539962768554688, 'q_mean': 50.159019470214844, 'num_update': 889882}
{'episode': 1800, 'epsilon': 0.1, 'ep_reward': 46.61203946215534, 'loss': 16.90125846862793, 'q_mean': 56.82321548461914, 'num_update': 921766}
{'episode': 1900, 'epsilon': 0.09523809523809523, 'ep_reward': 282.3759104176779, 'loss': 0.7407910823822021, 'q_mean': 58.15911865234375, 'num_update': 953785}
------ Training Finished ------
