
{'episode': 0, 'epsilon': 1.0, 'ep_reward': -104.10319476387181}
{'episode': 100, 'epsilon': 0.6666666666666666, 'ep_reward': -9.614165702650268, 'loss': 93.30352020263672, 'q_mean': -6.154853820800781, 'num_update': 9657}
{'episode': 200, 'epsilon': 0.5, 'ep_reward': -113.78205319890682, 'loss': 52.75789260864258, 'q_mean': -25.610511779785156, 'num_update': 27566}
{'episode': 300, 'epsilon': 0.4, 'ep_reward': -77.26599218424931, 'loss': 21.345186233520508, 'q_mean': -20.233488082885742, 'num_update': 62163}
{'episode': 400, 'epsilon': 0.3333333333333333, 'ep_reward': -123.91576424205466, 'loss': 4.011144161224365, 'q_mean': -1.7708487510681152, 'num_update': 123524}
{'episode': 500, 'epsilon': 0.2857142857142857, 'ep_reward': -104.8680660730042, 'loss': 4.887931823730469, 'q_mean': 11.31491470336914, 'num_update': 196052}
{'episode': 600, 'epsilon': 0.25, 'ep_reward': -83.32669587710781, 'loss': 4.960168361663818, 'q_mean': 23.758544921875, 'num_update': 283958}
{'episode': 700, 'epsilon': 0.2222222222222222, 'ep_reward': -4.759547413306851, 'loss': 3.885260581970215, 'q_mean': 27.415504455566406, 'num_update': 375040}
{'episode': 800, 'epsilon': 0.2, 'ep_reward': -67.53448934093734, 'loss': 3.7396016120910645, 'q_mean': 26.270166397094727, 'num_update': 470336}
{'episode': 900, 'epsilon': 0.18181818181818182, 'ep_reward': -59.86426096853742, 'loss': 3.2131195068359375, 'q_mean': 24.831830978393555, 'num_update': 562064}
{'episode': 1000, 'epsilon': 0.16666666666666666, 'ep_reward': 245.27181594278716, 'loss': 1.8412866592407227, 'q_mean': 24.444637298583984, 'num_update': 650715}
{'episode': 1100, 'epsilon': 0.15384615384615385, 'ep_reward': 287.68974821093315, 'loss': 2.114382028579712, 'q_mean': 22.098861694335938, 'num_update': 733559}
{'episode': 1200, 'epsilon': 0.14285714285714285, 'ep_reward': -83.17536474154399, 'loss': 18.269241333007812, 'q_mean': 20.43783187866211, 'num_update': 822590}
{'episode': 1300, 'epsilon': 0.13333333333333333, 'ep_reward': -124.14840797827802, 'loss': 2.2063817977905273, 'q_mean': 23.295127868652344, 'num_update': 903592}
{'episode': 1400, 'epsilon': 0.125, 'ep_reward': 272.19627761542506, 'loss': 1.4504399299621582, 'q_mean': 26.963199615478516, 'num_update': 968286}
{'episode': 1500, 'epsilon': 0.11764705882352941, 'ep_reward': -23.34718534627848, 'loss': 8.530275344848633, 'q_mean': 27.7231388092041, 'num_update': 1024666}
{'episode': 1600, 'epsilon': 0.1111111111111111, 'ep_reward': 232.10679334011587, 'loss': 15.384919166564941, 'q_mean': 30.434728622436523, 'num_update': 1081040}
{'episode': 1700, 'epsilon': 0.10526315789473684, 'ep_reward': 279.1674333992129, 'loss': 7.555994033813477, 'q_mean': 32.63175964355469, 'num_update': 1140477}
{'episode': 1800, 'epsilon': 0.1, 'ep_reward': 197.17620522097937, 'loss': 3.8639237880706787, 'q_mean': 31.73663902282715, 'num_update': 1195688}
{'episode': 1900, 'epsilon': 0.09523809523809523, 'ep_reward': -48.16203401376058, 'loss': 3.968247652053833, 'q_mean': 29.31491470336914, 'num_update': 1259411}
------ Training Finished ------
