
{'episode': 0, 'epsilon': 1.0, 'ep_reward': -138.06655450947778}
{'episode': 100, 'epsilon': 0.6666666666666666, 'ep_reward': -73.0012396864652, 'loss': 46.614288330078125, 'q_mean': 2.686539649963379, 'num_update': 11055}
{'episode': 200, 'epsilon': 0.5, 'ep_reward': -357.5630446231152, 'loss': 21.04960060119629, 'q_mean': 10.192436218261719, 'num_update': 28467}
{'episode': 300, 'epsilon': 0.4, 'ep_reward': 18.21300979134114, 'loss': 20.92902946472168, 'q_mean': 21.378734588623047, 'num_update': 73990}
{'episode': 400, 'epsilon': 0.3333333333333333, 'ep_reward': 140.35865300687183, 'loss': 15.369390487670898, 'q_mean': 32.90595245361328, 'num_update': 139526}
{'episode': 500, 'epsilon': 0.2857142857142857, 'ep_reward': 0.07664276718068663, 'loss': 5.962069511413574, 'q_mean': 37.642478942871094, 'num_update': 204463}
{'episode': 600, 'epsilon': 0.25, 'ep_reward': 89.09724775169951, 'loss': 8.685808181762695, 'q_mean': 42.4552001953125, 'num_update': 283242}
{'episode': 700, 'epsilon': 0.2222222222222222, 'ep_reward': 207.07819756945162, 'loss': 13.828400611877441, 'q_mean': 42.0817756652832, 'num_update': 354418}
{'episode': 800, 'epsilon': 0.2, 'ep_reward': 265.8729575563875, 'loss': 4.758323669433594, 'q_mean': 42.34117889404297, 'num_update': 425691}
{'episode': 900, 'epsilon': 0.18181818181818182, 'ep_reward': 88.40532588652849, 'loss': 11.330170631408691, 'q_mean': 41.62468719482422, 'num_update': 492295}
{'episode': 1000, 'epsilon': 0.16666666666666666, 'ep_reward': 267.58134380983927, 'loss': 2.7009365558624268, 'q_mean': 38.17920684814453, 'num_update': 557515}
{'episode': 1100, 'epsilon': 0.15384615384615385, 'ep_reward': 264.92381825040445, 'loss': 16.47573471069336, 'q_mean': 39.83920669555664, 'num_update': 611655}
{'episode': 1200, 'epsilon': 0.14285714285714285, 'ep_reward': 175.23395439309215, 'loss': 29.042457580566406, 'q_mean': 38.311344146728516, 'num_update': 665784}
{'episode': 1300, 'epsilon': 0.13333333333333333, 'ep_reward': 252.85016545126453, 'loss': 18.8455753326416, 'q_mean': 42.20807647705078, 'num_update': 712098}
{'episode': 1400, 'epsilon': 0.125, 'ep_reward': 278.5497861624782, 'loss': 2.832523822784424, 'q_mean': 42.61869812011719, 'num_update': 757649}
{'episode': 1500, 'epsilon': 0.11764705882352941, 'ep_reward': 109.34965224188669, 'loss': 18.438915252685547, 'q_mean': 43.31111145019531, 'num_update': 804059}
{'episode': 1600, 'epsilon': 0.1111111111111111, 'ep_reward': 284.10615327646525, 'loss': 13.035762786865234, 'q_mean': 46.608863830566406, 'num_update': 844825}
{'episode': 1700, 'epsilon': 0.10526315789473684, 'ep_reward': 310.77365968850086, 'loss': 11.879205703735352, 'q_mean': 49.272483825683594, 'num_update': 879660}
{'episode': 1800, 'epsilon': 0.1, 'ep_reward': -28.582749593854658, 'loss': 1.604602575302124, 'q_mean': 48.34037780761719, 'num_update': 912838}
{'episode': 1900, 'epsilon': 0.09523809523809523, 'ep_reward': 282.04473357033334, 'loss': 2.5084686279296875, 'q_mean': 51.37638854980469, 'num_update': 945679}
------ Training Finished ------
