
{'episode': 0, 'epsilon': 1.0, 'ep_reward': -306.5412845069092}
{'episode': 100, 'epsilon': 0.6666666666666666, 'ep_reward': -143.85578335231924, 'loss': 12.412700653076172, 'q_mean': 10.410944938659668, 'num_update': 9729}
{'episode': 200, 'epsilon': 0.5, 'ep_reward': -80.00793499573166, 'loss': 103.9461441040039, 'q_mean': 35.081825256347656, 'num_update': 24161}
{'episode': 300, 'epsilon': 0.4, 'ep_reward': -34.66015007574168, 'loss': 80.2284927368164, 'q_mean': 66.43465423583984, 'num_update': 37118}
{'episode': 400, 'epsilon': 0.3333333333333333, 'ep_reward': -528.7854146048737, 'loss': 241.4322967529297, 'q_mean': 117.61641693115234, 'num_update': 46036}
{'episode': 500, 'epsilon': 0.2857142857142857, 'ep_reward': -337.1567149895599, 'loss': 251.5367431640625, 'q_mean': 183.19854736328125, 'num_update': 54421}
{'episode': 600, 'epsilon': 0.25, 'ep_reward': -491.53340630165326, 'loss': 875.2020263671875, 'q_mean': 284.68426513671875, 'num_update': 62660}
{'episode': 700, 'epsilon': 0.2222222222222222, 'ep_reward': -450.47839695988444, 'loss': 369.0773620605469, 'q_mean': 442.67034912109375, 'num_update': 71120}
{'episode': 800, 'epsilon': 0.2, 'ep_reward': -227.36357372327114, 'loss': 531.2937622070312, 'q_mean': 564.409912109375, 'num_update': 79466}
{'episode': 900, 'epsilon': 0.18181818181818182, 'ep_reward': -273.72026249471844, 'loss': 1171.1268310546875, 'q_mean': 697.027587890625, 'num_update': 88436}
{'episode': 1000, 'epsilon': 0.16666666666666666, 'ep_reward': -185.0073480150842, 'loss': 1255.68017578125, 'q_mean': 902.7448120117188, 'num_update': 97812}
{'episode': 1100, 'epsilon': 0.15384615384615385, 'ep_reward': -120.58929122125433, 'loss': 1444.443603515625, 'q_mean': 997.9088134765625, 'num_update': 108984}
{'episode': 1200, 'epsilon': 0.14285714285714285, 'ep_reward': -239.5752508392737, 'loss': 820.8225708007812, 'q_mean': 1050.02880859375, 'num_update': 134620}
{'episode': 1300, 'epsilon': 0.13333333333333333, 'ep_reward': -230.26372138184018, 'loss': 829.174560546875, 'q_mean': 862.8533935546875, 'num_update': 169057}
{'episode': 1400, 'epsilon': 0.125, 'ep_reward': -972.5868763169425, 'loss': 538.5689086914062, 'q_mean': 865.6700439453125, 'num_update': 238525}
