
{'episode': 0, 'epsilon': 1.0, 'ep_reward': -271.7234693147394}
{'episode': 100, 'epsilon': 0.6666666666666666, 'ep_reward': -85.69204459726669, 'loss': 132.87203979492188, 'q_mean': -0.2990477979183197, 'num_update': 9692}
{'episode': 200, 'epsilon': 0.5, 'ep_reward': -286.65396115609997, 'loss': 87.000244140625, 'q_mean': -1.357483148574829, 'num_update': 23372}
{'episode': 300, 'epsilon': 0.4, 'ep_reward': -352.0518080850387, 'loss': 78.34291076660156, 'q_mean': -3.778705596923828, 'num_update': 37582}
{'episode': 400, 'epsilon': 0.3333333333333333, 'ep_reward': -255.07952824330664, 'loss': 112.5096435546875, 'q_mean': -8.272098541259766, 'num_update': 52285}
{'episode': 500, 'epsilon': 0.2857142857142857, 'ep_reward': -342.52010888702125, 'loss': 65.79826354980469, 'q_mean': -15.468249320983887, 'num_update': 66830}
{'episode': 600, 'epsilon': 0.25, 'ep_reward': -561.4153390387492, 'loss': 25.052188873291016, 'q_mean': -25.30397605895996, 'num_update': 81715}
{'episode': 700, 'epsilon': 0.2222222222222222, 'ep_reward': -475.16754633648856, 'loss': 20.88850212097168, 'q_mean': -32.62727355957031, 'num_update': 91115}
{'episode': 800, 'epsilon': 0.2, 'ep_reward': -361.2932461957041, 'loss': 22.212181091308594, 'q_mean': -41.10478591918945, 'num_update': 100434}
{'episode': 900, 'epsilon': 0.18181818181818182, 'ep_reward': -34.98382486677609, 'loss': 38.2404899597168, 'q_mean': -57.798423767089844, 'num_update': 122205}
{'episode': 1000, 'epsilon': 0.16666666666666666, 'ep_reward': -319.17473420329117, 'loss': 7.734742164611816, 'q_mean': -74.9819564819336, 'num_update': 189467}
{'episode': 1100, 'epsilon': 0.15384615384615385, 'ep_reward': -183.78596351256277, 'loss': 9.482553482055664, 'q_mean': -56.4723014831543, 'num_update': 288554}
{'episode': 1200, 'epsilon': 0.14285714285714285, 'ep_reward': -222.02731844723294, 'loss': 13.172540664672852, 'q_mean': -38.23095703125, 'num_update': 383506}
{'episode': 1300, 'epsilon': 0.13333333333333333, 'ep_reward': -146.62667878142156, 'loss': 4.494309425354004, 'q_mean': -22.7976016998291, 'num_update': 471544}
{'episode': 1400, 'epsilon': 0.125, 'ep_reward': -93.03862131004513, 'loss': 6.057188034057617, 'q_mean': -12.05066204071045, 'num_update': 563019}
{'episode': 1500, 'epsilon': 0.11764705882352941, 'ep_reward': -72.19596777699917, 'loss': 2.951199531555176, 'q_mean': -1.137408971786499, 'num_update': 654354}
{'episode': 1600, 'epsilon': 0.1111111111111111, 'ep_reward': -93.16706280874158, 'loss': 2.176572799682617, 'q_mean': 8.961686134338379, 'num_update': 750407}
{'episode': 1700, 'epsilon': 0.10526315789473684, 'ep_reward': -124.5473033228986, 'loss': 2.359987258911133, 'q_mean': 13.490348815917969, 'num_update': 850407}
{'episode': 1800, 'epsilon': 0.1, 'ep_reward': -106.20409030885547, 'loss': 1.9434564113616943, 'q_mean': 13.512977600097656, 'num_update': 950407}
{'episode': 1900, 'epsilon': 0.09523809523809523, 'ep_reward': -91.8732412436932, 'loss': 1.6389133930206299, 'q_mean': 11.045953750610352, 'num_update': 1050407}
{'episode': 2000, 'epsilon': 0.09090909090909091, 'ep_reward': -111.62966407102135, 'loss': 1.6144044399261475, 'q_mean': 9.965413093566895, 'num_update': 1148527}
{'episode': 2100, 'epsilon': 0.08695652173913043, 'ep_reward': -289.9405934327881, 'loss': 3.2067978382110596, 'q_mean': 7.596574783325195, 'num_update': 1239717}
{'episode': 2200, 'epsilon': 0.08333333333333333, 'ep_reward': -96.96919294718683, 'loss': 1.6143195629119873, 'q_mean': 6.7105793952941895, 'num_update': 1314155}
{'episode': 2300, 'epsilon': 0.08, 'ep_reward': -90.14690369138651, 'loss': 19.000608444213867, 'q_mean': 6.143651485443115, 'num_update': 1390479}
{'episode': 2400, 'epsilon': 0.07692307692307693, 'ep_reward': -79.52094869035395, 'loss': 3.3584277629852295, 'q_mean': 4.615292549133301, 'num_update': 1461202}
{'episode': 2500, 'epsilon': 0.07407407407407407, 'ep_reward': -235.30078391520672, 'loss': 4.31109094619751, 'q_mean': 3.642300605773926, 'num_update': 1527674}
