
{'episode': 0, 'epsilon': 1.0, 'ep_reward': -121.41805690457929}
{'episode': 100, 'epsilon': 0.6666666666666666, 'ep_reward': -211.53915083048963, 'loss': 40.80048370361328, 'q_mean': -10.072054862976074, 'num_update': 10863}
{'episode': 200, 'epsilon': 0.5, 'ep_reward': -75.65509129957309, 'loss': 40.71088409423828, 'q_mean': -10.436685562133789, 'num_update': 29771}
{'episode': 300, 'epsilon': 0.4, 'ep_reward': 87.20652920320641, 'loss': 8.802180290222168, 'q_mean': 2.4314498901367188, 'num_update': 75328}
{'episode': 400, 'epsilon': 0.3333333333333333, 'ep_reward': 154.62748608239423, 'loss': 3.46419620513916, 'q_mean': 20.424556732177734, 'num_update': 157735}
{'episode': 500, 'epsilon': 0.2857142857142857, 'ep_reward': 77.4299716093506, 'loss': 20.822643280029297, 'q_mean': 29.17612075805664, 'num_update': 245893}
{'episode': 600, 'epsilon': 0.25, 'ep_reward': -24.70856723803037, 'loss': 3.7218246459960938, 'q_mean': 33.80950927734375, 'num_update': 340121}
{'episode': 700, 'epsilon': 0.2222222222222222, 'ep_reward': 189.02963899069886, 'loss': 3.0028738975524902, 'q_mean': 32.41387939453125, 'num_update': 433113}
{'episode': 800, 'epsilon': 0.2, 'ep_reward': 194.72536492012426, 'loss': 1.6917399168014526, 'q_mean': 33.079612731933594, 'num_update': 522453}
{'episode': 900, 'epsilon': 0.18181818181818182, 'ep_reward': 154.64130417187124, 'loss': 1.464890718460083, 'q_mean': 34.702457427978516, 'num_update': 599042}
{'episode': 1000, 'epsilon': 0.16666666666666666, 'ep_reward': -138.27800637782042, 'loss': 2.0728063583374023, 'q_mean': 33.890235900878906, 'num_update': 684359}
{'episode': 1100, 'epsilon': 0.15384615384615385, 'ep_reward': -92.42022319904291, 'loss': 3.007472515106201, 'q_mean': 33.36398696899414, 'num_update': 757652}
{'episode': 1200, 'epsilon': 0.14285714285714285, 'ep_reward': 33.57521637037618, 'loss': 12.357845306396484, 'q_mean': 33.35653305053711, 'num_update': 823484}
{'episode': 1300, 'epsilon': 0.13333333333333333, 'ep_reward': 226.36180136025584, 'loss': 13.07199764251709, 'q_mean': 34.963905334472656, 'num_update': 893923}
{'episode': 1400, 'epsilon': 0.125, 'ep_reward': -2.0116307046170476, 'loss': 0.9729958772659302, 'q_mean': 34.72042465209961, 'num_update': 964591}
{'episode': 1500, 'epsilon': 0.11764705882352941, 'ep_reward': 136.8349264191147, 'loss': 70.13531494140625, 'q_mean': 34.19794845581055, 'num_update': 1037736}
{'episode': 1600, 'epsilon': 0.1111111111111111, 'ep_reward': 255.0620538550507, 'loss': 1.962511420249939, 'q_mean': 34.20230484008789, 'num_update': 1108827}
{'episode': 1700, 'epsilon': 0.10526315789473684, 'ep_reward': 120.90610586171815, 'loss': 1.877366542816162, 'q_mean': 36.11069107055664, 'num_update': 1172318}
{'episode': 1800, 'epsilon': 0.1, 'ep_reward': 156.15459427889402, 'loss': 9.976408004760742, 'q_mean': 35.011802673339844, 'num_update': 1233788}
{'episode': 1900, 'epsilon': 0.09523809523809523, 'ep_reward': 150.89975321432786, 'loss': 0.8629163503646851, 'q_mean': 36.874183654785156, 'num_update': 1296958}
{'episode': 2000, 'epsilon': 0.09090909090909091, 'ep_reward': 257.7901868542273, 'loss': 8.487199783325195, 'q_mean': 37.331459045410156, 'num_update': 1355086}
{'episode': 2100, 'epsilon': 0.08695652173913043, 'ep_reward': 163.47078699817587, 'loss': 1.3795348405838013, 'q_mean': 37.383636474609375, 'num_update': 1418947}
{'episode': 2200, 'epsilon': 0.08333333333333333, 'ep_reward': 237.04909254415162, 'loss': 1.761277198791504, 'q_mean': 38.096805572509766, 'num_update': 1489053}
{'episode': 2300, 'epsilon': 0.08, 'ep_reward': 227.49883082036385, 'loss': 2.0122053623199463, 'q_mean': 38.46672058105469, 'num_update': 1550193}
{'episode': 2400, 'epsilon': 0.07692307692307693, 'ep_reward': 224.5082985862521, 'loss': 1.6475732326507568, 'q_mean': 40.40348815917969, 'num_update': 1602985}
{'episode': 2500, 'epsilon': 0.07407407407407407, 'ep_reward': 232.21620915988117, 'loss': 14.433144569396973, 'q_mean': 43.827980041503906, 'num_update': 1661731}
{'episode': 2600, 'epsilon': 0.07142857142857142, 'ep_reward': 193.1873280443405, 'loss': 1.1083990335464478, 'q_mean': 42.033939361572266, 'num_update': 1726354}
{'episode': 2700, 'epsilon': 0.06896551724137931, 'ep_reward': 196.98550838167722, 'loss': 1.5846304893493652, 'q_mean': 40.386409759521484, 'num_update': 1789874}
{'episode': 2800, 'epsilon': 0.06666666666666667, 'ep_reward': 164.09901321366863, 'loss': 11.606954574584961, 'q_mean': 40.20081329345703, 'num_update': 1849328}
{'episode': 2900, 'epsilon': 0.06451612903225806, 'ep_reward': 247.03296136040956, 'loss': 7.4383673667907715, 'q_mean': 40.1024169921875, 'num_update': 1905927}
------ Training Finished ------
