
{'episode': 0, 'epsilon': 1.0, 'ep_reward': -309.7563937635464}
{'episode': 100, 'epsilon': 0.6666666666666666, 'ep_reward': -85.09022409031857, 'loss': 32.055076599121094, 'q_mean': -10.647448539733887, 'num_update': 10825}
{'episode': 200, 'epsilon': 0.5, 'ep_reward': -40.77364596810759, 'loss': 6.651676177978516, 'q_mean': -9.30627155303955, 'num_update': 28913}
{'episode': 300, 'epsilon': 0.4, 'ep_reward': 16.25864062040141, 'loss': 12.848638534545898, 'q_mean': -2.384182929992676, 'num_update': 74633}
{'episode': 400, 'epsilon': 0.3333333333333333, 'ep_reward': 82.36481890225849, 'loss': 15.765848159790039, 'q_mean': 16.057865142822266, 'num_update': 154616}
{'episode': 500, 'epsilon': 0.2857142857142857, 'ep_reward': -82.06662281803317, 'loss': 3.922236204147339, 'q_mean': 28.207870483398438, 'num_update': 248578}
{'episode': 600, 'epsilon': 0.25, 'ep_reward': 11.862276155111203, 'loss': 12.868595123291016, 'q_mean': 27.67074203491211, 'num_update': 344221}
{'episode': 700, 'epsilon': 0.2222222222222222, 'ep_reward': 75.8887337955461, 'loss': 6.5377116203308105, 'q_mean': 32.106868743896484, 'num_update': 440184}
{'episode': 800, 'epsilon': 0.2, 'ep_reward': 228.27736920635013, 'loss': 2.34169340133667, 'q_mean': 30.815664291381836, 'num_update': 527587}
{'episode': 900, 'epsilon': 0.18181818181818182, 'ep_reward': -68.7365439030212, 'loss': 1.4977562427520752, 'q_mean': 27.108774185180664, 'num_update': 614157}
{'episode': 1000, 'epsilon': 0.16666666666666666, 'ep_reward': 198.51048528974417, 'loss': 1.0640246868133545, 'q_mean': 28.524234771728516, 'num_update': 701837}
{'episode': 1100, 'epsilon': 0.15384615384615385, 'ep_reward': 261.63522110673284, 'loss': 1.3333027362823486, 'q_mean': 30.30431365966797, 'num_update': 776423}
{'episode': 1200, 'epsilon': 0.14285714285714285, 'ep_reward': 236.47065888065637, 'loss': 0.846825122833252, 'q_mean': 31.78067398071289, 'num_update': 847684}
{'episode': 1300, 'epsilon': 0.13333333333333333, 'ep_reward': 190.77216590635322, 'loss': 13.978934288024902, 'q_mean': 33.3012580871582, 'num_update': 913570}
{'episode': 1400, 'epsilon': 0.125, 'ep_reward': 276.5585659174293, 'loss': 0.908234715461731, 'q_mean': 33.822635650634766, 'num_update': 970787}
{'episode': 1500, 'epsilon': 0.11764705882352941, 'ep_reward': 254.41645377294145, 'loss': 0.9327296018600464, 'q_mean': 34.712677001953125, 'num_update': 1026769}
{'episode': 1600, 'epsilon': 0.1111111111111111, 'ep_reward': 263.3553874104398, 'loss': 10.645105361938477, 'q_mean': 38.940650939941406, 'num_update': 1077232}
{'episode': 1700, 'epsilon': 0.10526315789473684, 'ep_reward': 191.82788499997122, 'loss': 0.8044330477714539, 'q_mean': 43.17401123046875, 'num_update': 1130658}
{'episode': 1800, 'epsilon': 0.1, 'ep_reward': 248.66602766354893, 'loss': 8.23686695098877, 'q_mean': 43.848854064941406, 'num_update': 1180688}
{'episode': 1900, 'epsilon': 0.09523809523809523, 'ep_reward': 269.2136988730367, 'loss': 7.672735691070557, 'q_mean': 43.542625427246094, 'num_update': 1224437}
{'episode': 2000, 'epsilon': 0.09090909090909091, 'ep_reward': 232.59015177731254, 'loss': 1.499924659729004, 'q_mean': 44.126068115234375, 'num_update': 1274072}
{'episode': 2100, 'epsilon': 0.08695652173913043, 'ep_reward': 206.85333867009933, 'loss': 11.185063362121582, 'q_mean': 44.094791412353516, 'num_update': 1323917}
{'episode': 2200, 'epsilon': 0.08333333333333333, 'ep_reward': 218.69947743365137, 'loss': 12.888710021972656, 'q_mean': 47.398887634277344, 'num_update': 1377466}
{'episode': 2300, 'epsilon': 0.08, 'ep_reward': 230.02407070358166, 'loss': 11.347224235534668, 'q_mean': 47.927730560302734, 'num_update': 1434773}
{'episode': 2400, 'epsilon': 0.07692307692307693, 'ep_reward': 205.83309804429862, 'loss': 2.258122682571411, 'q_mean': 48.95263671875, 'num_update': 1483392}
{'episode': 2500, 'epsilon': 0.07407407407407407, 'ep_reward': 44.888296174978166, 'loss': 3.240654468536377, 'q_mean': 48.55420684814453, 'num_update': 1529514}
{'episode': 2600, 'epsilon': 0.07142857142857142, 'ep_reward': 231.83855091101432, 'loss': 1.2645373344421387, 'q_mean': 48.57172393798828, 'num_update': 1573647}
{'episode': 2700, 'epsilon': 0.06896551724137931, 'ep_reward': 217.5248694157496, 'loss': 2.2639002799987793, 'q_mean': 50.72724914550781, 'num_update': 1616527}
{'episode': 2800, 'epsilon': 0.06666666666666667, 'ep_reward': 299.3768689684273, 'loss': 31.953716278076172, 'q_mean': 52.64402770996094, 'num_update': 1657934}
