
{'episode': 0, 'epsilon': 1.0, 'ep_reward': -134.83599327190464}
{'episode': 100, 'epsilon': 0.6666666666666666, 'ep_reward': -139.68415372850154, 'loss': 37.50640106201172, 'q_mean': -9.651765823364258, 'num_update': 11255}
{'episode': 200, 'epsilon': 0.5, 'ep_reward': -286.84887140307956, 'loss': 27.502059936523438, 'q_mean': -7.560009956359863, 'num_update': 27802}
{'episode': 300, 'epsilon': 0.4, 'ep_reward': 5.098539844376987, 'loss': 16.554960250854492, 'q_mean': 2.9067115783691406, 'num_update': 70183}
{'episode': 400, 'epsilon': 0.3333333333333333, 'ep_reward': 99.5681721624262, 'loss': 32.869285583496094, 'q_mean': 22.529621124267578, 'num_update': 150565}
{'episode': 500, 'epsilon': 0.2857142857142857, 'ep_reward': 61.54756594440653, 'loss': 5.885645389556885, 'q_mean': 30.86614227294922, 'num_update': 242642}
{'episode': 600, 'epsilon': 0.25, 'ep_reward': 204.68329586480397, 'loss': 2.2008275985717773, 'q_mean': 31.23914337158203, 'num_update': 340534}
{'episode': 700, 'epsilon': 0.2222222222222222, 'ep_reward': 82.78682694122574, 'loss': 3.589768171310425, 'q_mean': 31.32029914855957, 'num_update': 427272}
{'episode': 800, 'epsilon': 0.2, 'ep_reward': 221.18331674795905, 'loss': 25.751279830932617, 'q_mean': 31.614986419677734, 'num_update': 509453}
{'episode': 900, 'epsilon': 0.18181818181818182, 'ep_reward': 120.40327211675748, 'loss': 0.7390131950378418, 'q_mean': 29.75458526611328, 'num_update': 585638}
{'episode': 1000, 'epsilon': 0.16666666666666666, 'ep_reward': 257.918801850592, 'loss': 14.194783210754395, 'q_mean': 29.580732345581055, 'num_update': 648634}
{'episode': 1100, 'epsilon': 0.15384615384615385, 'ep_reward': 120.59207589257107, 'loss': 0.9505466818809509, 'q_mean': 29.858116149902344, 'num_update': 708070}
{'episode': 1200, 'epsilon': 0.14285714285714285, 'ep_reward': 282.3166406186042, 'loss': 1.6542295217514038, 'q_mean': 34.3704833984375, 'num_update': 757996}
{'episode': 1300, 'epsilon': 0.13333333333333333, 'ep_reward': 206.49266968834124, 'loss': 0.8588367700576782, 'q_mean': 38.94065475463867, 'num_update': 810500}
{'episode': 1400, 'epsilon': 0.125, 'ep_reward': 233.52923118050992, 'loss': 10.804243087768555, 'q_mean': 41.121761322021484, 'num_update': 856470}
{'episode': 1500, 'epsilon': 0.11764705882352941, 'ep_reward': 281.05030071043154, 'loss': 11.346449851989746, 'q_mean': 42.02500534057617, 'num_update': 906368}
{'episode': 1600, 'epsilon': 0.1111111111111111, 'ep_reward': 245.7519703643004, 'loss': 11.55408000946045, 'q_mean': 42.37590789794922, 'num_update': 953532}
{'episode': 1700, 'epsilon': 0.10526315789473684, 'ep_reward': 220.11773370004101, 'loss': 1.1588748693466187, 'q_mean': 45.66943359375, 'num_update': 996388}
{'episode': 1800, 'epsilon': 0.1, 'ep_reward': 130.4068630693191, 'loss': 9.205446243286133, 'q_mean': 47.781620025634766, 'num_update': 1038656}
{'episode': 1900, 'epsilon': 0.09523809523809523, 'ep_reward': 256.6390537957551, 'loss': 2.410885810852051, 'q_mean': 49.40605163574219, 'num_update': 1077149}
{'episode': 2000, 'epsilon': 0.09090909090909091, 'ep_reward': 236.30768248654402, 'loss': 9.014708518981934, 'q_mean': 51.970985412597656, 'num_update': 1114151}
{'episode': 2100, 'epsilon': 0.08695652173913043, 'ep_reward': 250.37407075523254, 'loss': 18.502416610717773, 'q_mean': 53.70575714111328, 'num_update': 1149405}
{'episode': 2200, 'epsilon': 0.08333333333333333, 'ep_reward': 303.1873282155282, 'loss': 10.613654136657715, 'q_mean': 56.44340896606445, 'num_update': 1183448}
{'episode': 2300, 'epsilon': 0.08, 'ep_reward': 228.28408208524957, 'loss': 7.174898147583008, 'q_mean': 58.50026321411133, 'num_update': 1219264}
{'episode': 2400, 'epsilon': 0.07692307692307693, 'ep_reward': 250.3618157426226, 'loss': 1.064469814300537, 'q_mean': 61.86241149902344, 'num_update': 1250018}
{'episode': 2500, 'epsilon': 0.07407407407407407, 'ep_reward': 271.82950742973196, 'loss': 1.222703456878662, 'q_mean': 62.89096450805664, 'num_update': 1283396}
{'episode': 2600, 'epsilon': 0.07142857142857142, 'ep_reward': 248.09814702863918, 'loss': 15.046536445617676, 'q_mean': 65.09931945800781, 'num_update': 1316138}
{'episode': 2700, 'epsilon': 0.06896551724137931, 'ep_reward': 312.4343689133804, 'loss': 16.881582260131836, 'q_mean': 66.49988555908203, 'num_update': 1353643}
{'episode': 2800, 'epsilon': 0.06666666666666667, 'ep_reward': 131.33759276649363, 'loss': 4.807698726654053, 'q_mean': 65.90571594238281, 'num_update': 1387816}
{'episode': 2900, 'epsilon': 0.06451612903225806, 'ep_reward': 248.5569005276929, 'loss': 5.486547946929932, 'q_mean': 68.09765625, 'num_update': 1416381}
{'episode': 3000, 'epsilon': 0.0625, 'ep_reward': 263.7064438597386, 'loss': 7.411345481872559, 'q_mean': 69.89757537841797, 'num_update': 1445142}
{'episode': 3100, 'epsilon': 0.06060606060606061, 'ep_reward': 304.14099739160787, 'loss': 1.4967436790466309, 'q_mean': 72.99822998046875, 'num_update': 1473342}
{'episode': 3200, 'epsilon': 0.058823529411764705, 'ep_reward': 265.2716764261704, 'loss': 13.349613189697266, 'q_mean': 73.61412048339844, 'num_update': 1500159}
{'episode': 3300, 'epsilon': 0.05714285714285714, 'ep_reward': 264.0646692283717, 'loss': 18.485393524169922, 'q_mean': 77.70655059814453, 'num_update': 1529625}
{'episode': 3400, 'epsilon': 0.05555555555555555, 'ep_reward': 282.18464233803, 'loss': 5.438982009887695, 'q_mean': 78.82048034667969, 'num_update': 1555841}
{'episode': 3500, 'epsilon': 0.05405405405405406, 'ep_reward': 286.9075330003403, 'loss': 4.3238677978515625, 'q_mean': 79.92526245117188, 'num_update': 1585301}
{'episode': 3600, 'epsilon': 0.05263157894736842, 'ep_reward': 289.23629694730096, 'loss': 3.5209364891052246, 'q_mean': 78.56143188476562, 'num_update': 1614150}
{'episode': 3700, 'epsilon': 0.05128205128205128, 'ep_reward': 267.44272271986017, 'loss': 14.45707893371582, 'q_mean': 79.8597183227539, 'num_update': 1641517}
{'episode': 3800, 'epsilon': 0.05, 'ep_reward': 283.48584053971217, 'loss': 3.163606643676758, 'q_mean': 80.29236602783203, 'num_update': 1670593}
{'episode': 3900, 'epsilon': 0.05, 'ep_reward': 263.40096723954434, 'loss': 0.8753560185432434, 'q_mean': 82.43132019042969, 'num_update': 1698271}
------ Training Finished ------
