
{'episode': 0, 'epsilon': 1.0, 'ep_reward': -99.3039783626719}
{'episode': 100, 'epsilon': 0.6666666666666666, 'ep_reward': -199.1364877442373, 'loss': 15.150457382202148, 'q_mean': -10.185063362121582, 'num_update': 10521}
{'episode': 200, 'epsilon': 0.5, 'ep_reward': -56.31001491630836, 'loss': 15.311138153076172, 'q_mean': -9.712282180786133, 'num_update': 28829}
{'episode': 300, 'epsilon': 0.4, 'ep_reward': 24.188047500627462, 'loss': 6.72298002243042, 'q_mean': 2.0761468410491943, 'num_update': 71083}
{'episode': 400, 'epsilon': 0.3333333333333333, 'ep_reward': 101.53021721541778, 'loss': 21.584064483642578, 'q_mean': 22.579395294189453, 'num_update': 156038}
{'episode': 500, 'epsilon': 0.2857142857142857, 'ep_reward': 38.896688470091036, 'loss': 6.585515975952148, 'q_mean': 33.49419021606445, 'num_update': 246315}
{'episode': 600, 'epsilon': 0.25, 'ep_reward': 106.31905095332013, 'loss': 2.664154052734375, 'q_mean': 34.595855712890625, 'num_update': 338114}
{'episode': 700, 'epsilon': 0.2222222222222222, 'ep_reward': 128.81703432463098, 'loss': 5.033095359802246, 'q_mean': 34.87969207763672, 'num_update': 429244}
{'episode': 800, 'epsilon': 0.2, 'ep_reward': 51.952107129492205, 'loss': 3.867764711380005, 'q_mean': 33.40910339355469, 'num_update': 522316}
{'episode': 900, 'epsilon': 0.18181818181818182, 'ep_reward': 142.20812835353584, 'loss': 0.9185284376144409, 'q_mean': 31.740478515625, 'num_update': 600058}
{'episode': 1000, 'epsilon': 0.16666666666666666, 'ep_reward': 154.0730062102321, 'loss': 1.8082187175750732, 'q_mean': 33.0606689453125, 'num_update': 670349}
{'episode': 1100, 'epsilon': 0.15384615384615385, 'ep_reward': 248.98192735245874, 'loss': 0.9913978576660156, 'q_mean': 33.375587463378906, 'num_update': 729996}
{'episode': 1200, 'epsilon': 0.14285714285714285, 'ep_reward': 249.43306244738494, 'loss': 1.3057273626327515, 'q_mean': 36.518089294433594, 'num_update': 786075}
{'episode': 1300, 'epsilon': 0.13333333333333333, 'ep_reward': 227.0897036427396, 'loss': 1.7733606100082397, 'q_mean': 37.36246109008789, 'num_update': 836176}
{'episode': 1400, 'epsilon': 0.125, 'ep_reward': 253.2983903238922, 'loss': 0.9273661971092224, 'q_mean': 38.60417175292969, 'num_update': 886920}
{'episode': 1500, 'epsilon': 0.11764705882352941, 'ep_reward': 219.54404864522127, 'loss': 9.956925392150879, 'q_mean': 40.47087097167969, 'num_update': 934619}
{'episode': 1600, 'epsilon': 0.1111111111111111, 'ep_reward': 286.9415914693089, 'loss': 10.0221586227417, 'q_mean': 41.96562576293945, 'num_update': 983487}
{'episode': 1700, 'epsilon': 0.10526315789473684, 'ep_reward': 210.28355778838022, 'loss': 0.8245745897293091, 'q_mean': 44.06053161621094, 'num_update': 1031652}
{'episode': 1800, 'epsilon': 0.1, 'ep_reward': 247.91568246047012, 'loss': 22.104408264160156, 'q_mean': 46.131500244140625, 'num_update': 1075224}
{'episode': 1900, 'epsilon': 0.09523809523809523, 'ep_reward': 294.2189690830587, 'loss': 13.698647499084473, 'q_mean': 49.160919189453125, 'num_update': 1116431}
{'episode': 2000, 'epsilon': 0.09090909090909091, 'ep_reward': 268.98156807816866, 'loss': 16.03118896484375, 'q_mean': 50.22560501098633, 'num_update': 1154335}
{'episode': 2100, 'epsilon': 0.08695652173913043, 'ep_reward': 260.37645111066394, 'loss': 0.9124183654785156, 'q_mean': 54.33512878417969, 'num_update': 1188239}
{'episode': 2200, 'epsilon': 0.08333333333333333, 'ep_reward': 256.5967183052467, 'loss': 16.416534423828125, 'q_mean': 56.87944030761719, 'num_update': 1223893}
{'episode': 2300, 'epsilon': 0.08, 'ep_reward': 246.19566296949225, 'loss': 7.6861467361450195, 'q_mean': 57.427223205566406, 'num_update': 1260424}
{'episode': 2400, 'epsilon': 0.07692307692307693, 'ep_reward': 266.28366794949005, 'loss': 10.772346496582031, 'q_mean': 59.43102264404297, 'num_update': 1292760}
{'episode': 2500, 'epsilon': 0.07407407407407407, 'ep_reward': 211.85442447769663, 'loss': 1.154338002204895, 'q_mean': 60.95721435546875, 'num_update': 1325698}
{'episode': 2600, 'epsilon': 0.07142857142857142, 'ep_reward': 253.062342596265, 'loss': 14.970630645751953, 'q_mean': 63.123435974121094, 'num_update': 1360986}
{'episode': 2700, 'epsilon': 0.06896551724137931, 'ep_reward': 304.947088670216, 'loss': 12.765835762023926, 'q_mean': 64.91500854492188, 'num_update': 1393734}
{'episode': 2800, 'epsilon': 0.06666666666666667, 'ep_reward': 277.2170390095963, 'loss': 7.344165325164795, 'q_mean': 67.1025390625, 'num_update': 1421557}
{'episode': 2900, 'epsilon': 0.06451612903225806, 'ep_reward': 258.4313493995083, 'loss': 8.900582313537598, 'q_mean': 68.7137451171875, 'num_update': 1452391}
------ Training Finished ------
