
{'episode': 0, 'epsilon': 1.0, 'ep_reward': -411.646412200504}
{'episode': 100, 'epsilon': 0.6666666666666666, 'ep_reward': -75.5067257585855, 'loss': 31.023853302001953, 'q_mean': -11.311592102050781, 'num_update': 10577}
{'episode': 200, 'epsilon': 0.5, 'ep_reward': -138.0995603321391, 'loss': 30.71895408630371, 'q_mean': -16.43258285522461, 'num_update': 28635}
{'episode': 300, 'epsilon': 0.4, 'ep_reward': -36.798474465151074, 'loss': 5.135936737060547, 'q_mean': -5.909459114074707, 'num_update': 65943}
{'episode': 400, 'epsilon': 0.3333333333333333, 'ep_reward': 90.54374214881524, 'loss': 4.829026699066162, 'q_mean': 13.558927536010742, 'num_update': 147062}
{'episode': 500, 'epsilon': 0.2857142857142857, 'ep_reward': -33.3115676968322, 'loss': 3.8826351165771484, 'q_mean': 22.500534057617188, 'num_update': 242471}
{'episode': 600, 'epsilon': 0.25, 'ep_reward': 89.80024822946882, 'loss': 15.167595863342285, 'q_mean': 29.093481063842773, 'num_update': 337935}
{'episode': 700, 'epsilon': 0.2222222222222222, 'ep_reward': 252.36042029407946, 'loss': 3.6024937629699707, 'q_mean': 29.662063598632812, 'num_update': 424301}
{'episode': 800, 'epsilon': 0.2, 'ep_reward': 242.76443202038203, 'loss': 2.0887508392333984, 'q_mean': 35.510250091552734, 'num_update': 503504}
{'episode': 900, 'epsilon': 0.18181818181818182, 'ep_reward': 106.88605164106004, 'loss': 0.9724836349487305, 'q_mean': 32.051876068115234, 'num_update': 579235}
{'episode': 1000, 'epsilon': 0.16666666666666666, 'ep_reward': 251.77255080321146, 'loss': 13.937751770019531, 'q_mean': 33.75238800048828, 'num_update': 649466}
{'episode': 1100, 'epsilon': 0.15384615384615385, 'ep_reward': 251.46433378151553, 'loss': 12.524609565734863, 'q_mean': 34.65251922607422, 'num_update': 715903}
{'episode': 1200, 'epsilon': 0.14285714285714285, 'ep_reward': 224.35969696968436, 'loss': 1.920413851737976, 'q_mean': 37.213340759277344, 'num_update': 769899}
{'episode': 1300, 'epsilon': 0.13333333333333333, 'ep_reward': 290.0823631196903, 'loss': 11.858603477478027, 'q_mean': 39.97405242919922, 'num_update': 821840}
{'episode': 1400, 'epsilon': 0.125, 'ep_reward': 291.2718607437407, 'loss': 1.8626837730407715, 'q_mean': 40.46003723144531, 'num_update': 873107}
{'episode': 1500, 'epsilon': 0.11764705882352941, 'ep_reward': 232.881791509747, 'loss': 1.7663428783416748, 'q_mean': 43.438941955566406, 'num_update': 918883}
{'episode': 1600, 'epsilon': 0.1111111111111111, 'ep_reward': 260.4240687645702, 'loss': 13.021087646484375, 'q_mean': 44.18567657470703, 'num_update': 961179}
{'episode': 1700, 'epsilon': 0.10526315789473684, 'ep_reward': 234.55914178327842, 'loss': 16.467214584350586, 'q_mean': 46.37107467651367, 'num_update': 1002588}
{'episode': 1800, 'epsilon': 0.1, 'ep_reward': 244.18722059058385, 'loss': 0.6007970571517944, 'q_mean': 47.505367279052734, 'num_update': 1041336}
{'episode': 1900, 'epsilon': 0.09523809523809523, 'ep_reward': 238.15714146931498, 'loss': 7.768631458282471, 'q_mean': 50.23760986328125, 'num_update': 1080418}
{'episode': 2000, 'epsilon': 0.09090909090909091, 'ep_reward': 243.8447731556867, 'loss': 1.1778486967086792, 'q_mean': 52.11820602416992, 'num_update': 1122017}
{'episode': 2100, 'epsilon': 0.08695652173913043, 'ep_reward': 251.74999404947656, 'loss': 4.925869941711426, 'q_mean': 55.18292999267578, 'num_update': 1160502}
{'episode': 2200, 'epsilon': 0.08333333333333333, 'ep_reward': 281.8686529946337, 'loss': 16.511341094970703, 'q_mean': 57.772037506103516, 'num_update': 1197655}
{'episode': 2300, 'epsilon': 0.08, 'ep_reward': 270.067673331377, 'loss': 5.58695650100708, 'q_mean': 58.961578369140625, 'num_update': 1230978}
{'episode': 2400, 'epsilon': 0.07692307692307693, 'ep_reward': 222.8857445076247, 'loss': 1.8345839977264404, 'q_mean': 61.90977096557617, 'num_update': 1265097}
{'episode': 2500, 'epsilon': 0.07407407407407407, 'ep_reward': 275.5354684379065, 'loss': 0.9906607270240784, 'q_mean': 63.513832092285156, 'num_update': 1298568}
{'episode': 2600, 'epsilon': 0.07142857142857142, 'ep_reward': 304.2508070986527, 'loss': 9.126033782958984, 'q_mean': 64.81973266601562, 'num_update': 1332306}
{'episode': 2700, 'epsilon': 0.06896551724137931, 'ep_reward': 241.75109449303218, 'loss': 13.358062744140625, 'q_mean': 69.37602996826172, 'num_update': 1364846}
{'episode': 2800, 'epsilon': 0.06666666666666667, 'ep_reward': 264.8071955493791, 'loss': 5.011973857879639, 'q_mean': 70.62163543701172, 'num_update': 1400837}
{'episode': 2900, 'epsilon': 0.06451612903225806, 'ep_reward': 278.6321141199555, 'loss': 0.9155476093292236, 'q_mean': 72.69451904296875, 'num_update': 1437241}
------ Training Finished ------
