
{'episode': 0, 'epsilon': 1.0, 'ep_reward': -155.37203411214213}
{'episode': 100, 'epsilon': 0.6666666666666666, 'ep_reward': -158.24819715297963, 'loss': 87.24474334716797, 'q_mean': -10.594923973083496, 'num_update': 11779}
{'episode': 200, 'epsilon': 0.5, 'ep_reward': -91.3065556332186, 'loss': 23.38033676147461, 'q_mean': -8.930789947509766, 'num_update': 31439}
{'episode': 300, 'epsilon': 0.4, 'ep_reward': 5.359681090723145, 'loss': 34.998046875, 'q_mean': 1.4558992385864258, 'num_update': 70207}
{'episode': 400, 'epsilon': 0.3333333333333333, 'ep_reward': 65.1856708522012, 'loss': 6.156930923461914, 'q_mean': 19.528968811035156, 'num_update': 146988}
{'episode': 500, 'epsilon': 0.2857142857142857, 'ep_reward': -19.545566729717695, 'loss': 2.517052173614502, 'q_mean': 28.089282989501953, 'num_update': 234117}
{'episode': 600, 'epsilon': 0.25, 'ep_reward': 74.31908568772796, 'loss': 3.2139906883239746, 'q_mean': 31.202857971191406, 'num_update': 325549}
{'episode': 700, 'epsilon': 0.2222222222222222, 'ep_reward': -34.21694417098537, 'loss': 7.503015995025635, 'q_mean': 29.857267379760742, 'num_update': 421433}
{'episode': 800, 'epsilon': 0.2, 'ep_reward': 149.3636961955459, 'loss': 11.102614402770996, 'q_mean': 25.77035903930664, 'num_update': 515827}
{'episode': 900, 'epsilon': 0.18181818181818182, 'ep_reward': 95.08594452587518, 'loss': 1.052367925643921, 'q_mean': 31.10883140563965, 'num_update': 592281}
{'episode': 1000, 'epsilon': 0.16666666666666666, 'ep_reward': 190.68463961266352, 'loss': 30.44529151916504, 'q_mean': 32.00450134277344, 'num_update': 665090}
{'episode': 1100, 'epsilon': 0.15384615384615385, 'ep_reward': 207.28874596330937, 'loss': 13.371559143066406, 'q_mean': 32.062984466552734, 'num_update': 728628}
{'episode': 1200, 'epsilon': 0.14285714285714285, 'ep_reward': 263.28356580562655, 'loss': 1.1572680473327637, 'q_mean': 35.42145538330078, 'num_update': 784361}
{'episode': 1300, 'epsilon': 0.13333333333333333, 'ep_reward': 234.93014230298604, 'loss': 1.7385625839233398, 'q_mean': 37.36306381225586, 'num_update': 841856}
{'episode': 1400, 'epsilon': 0.125, 'ep_reward': 280.6141378987277, 'loss': 0.8801965713500977, 'q_mean': 38.2696647644043, 'num_update': 897359}
{'episode': 1500, 'epsilon': 0.11764705882352941, 'ep_reward': 242.64017270596625, 'loss': 1.0860122442245483, 'q_mean': 40.01182556152344, 'num_update': 942893}
{'episode': 1600, 'epsilon': 0.1111111111111111, 'ep_reward': 244.94861808410457, 'loss': 1.0557743310928345, 'q_mean': 41.05363845825195, 'num_update': 985365}
{'episode': 1700, 'epsilon': 0.10526315789473684, 'ep_reward': 247.3595726673481, 'loss': 9.855783462524414, 'q_mean': 43.410743713378906, 'num_update': 1027038}
{'episode': 1800, 'epsilon': 0.1, 'ep_reward': 246.13300518681416, 'loss': 9.98009967803955, 'q_mean': 43.7288932800293, 'num_update': 1067525}
{'episode': 1900, 'epsilon': 0.09523809523809523, 'ep_reward': 38.32836162415913, 'loss': 1.5420044660568237, 'q_mean': 46.04143524169922, 'num_update': 1103763}
{'episode': 2000, 'epsilon': 0.09090909090909091, 'ep_reward': 254.55909371903942, 'loss': 8.003375053405762, 'q_mean': 49.827430725097656, 'num_update': 1136213}
{'episode': 2100, 'epsilon': 0.08695652173913043, 'ep_reward': 216.48682158479454, 'loss': 14.463750839233398, 'q_mean': 53.23359680175781, 'num_update': 1169908}
{'episode': 2200, 'epsilon': 0.08333333333333333, 'ep_reward': 266.339944092733, 'loss': 4.966861724853516, 'q_mean': 54.384910583496094, 'num_update': 1206613}
{'episode': 2300, 'epsilon': 0.08, 'ep_reward': 231.46482558630998, 'loss': 11.692388534545898, 'q_mean': 54.77199172973633, 'num_update': 1243659}
{'episode': 2400, 'epsilon': 0.07692307692307693, 'ep_reward': 244.3741452146606, 'loss': 1.6569626331329346, 'q_mean': 57.95390319824219, 'num_update': 1280748}
{'episode': 2500, 'epsilon': 0.07407407407407407, 'ep_reward': 256.2536253179054, 'loss': 2.295891284942627, 'q_mean': 58.80434799194336, 'num_update': 1316956}
{'episode': 2600, 'epsilon': 0.07142857142857142, 'ep_reward': 276.7679357350796, 'loss': 10.11477279663086, 'q_mean': 60.4940185546875, 'num_update': 1351503}
{'episode': 2700, 'epsilon': 0.06896551724137931, 'ep_reward': 249.53472711339327, 'loss': 5.619291305541992, 'q_mean': 61.954254150390625, 'num_update': 1384317}
{'episode': 2800, 'epsilon': 0.06666666666666667, 'ep_reward': 261.0820822670145, 'loss': 5.5568084716796875, 'q_mean': 62.350975036621094, 'num_update': 1414230}
{'episode': 2900, 'epsilon': 0.06451612903225806, 'ep_reward': 223.39769242202667, 'loss': 4.845982074737549, 'q_mean': 64.85723114013672, 'num_update': 1448475}
------ Training Finished ------
