
{'episode': 0, 'epsilon': 1.0, 'ep_reward': -431.6248075058719}
{'episode': 100, 'epsilon': 0.6666666666666666, 'ep_reward': -29.969206911093764, 'loss': 31.331254959106445, 'q_mean': -10.38498306274414, 'num_update': 10244}
{'episode': 200, 'epsilon': 0.5, 'ep_reward': -153.8221800550085, 'loss': 35.239891052246094, 'q_mean': -10.570815086364746, 'num_update': 27565}
{'episode': 300, 'epsilon': 0.4, 'ep_reward': 47.566632399410196, 'loss': 12.503993034362793, 'q_mean': -3.8416590690612793, 'num_update': 69608}
{'episode': 400, 'epsilon': 0.3333333333333333, 'ep_reward': 18.639372766562065, 'loss': 22.09756088256836, 'q_mean': 12.702133178710938, 'num_update': 146381}
{'episode': 500, 'epsilon': 0.2857142857142857, 'ep_reward': -26.352419312502942, 'loss': 25.532621383666992, 'q_mean': 25.829238891601562, 'num_update': 240921}
{'episode': 600, 'epsilon': 0.25, 'ep_reward': 72.04622523972182, 'loss': 2.1368045806884766, 'q_mean': 26.264659881591797, 'num_update': 338714}
{'episode': 700, 'epsilon': 0.2222222222222222, 'ep_reward': 212.12949580098726, 'loss': 3.6786093711853027, 'q_mean': 26.8135986328125, 'num_update': 428320}
{'episode': 800, 'epsilon': 0.2, 'ep_reward': 191.61542142169685, 'loss': 2.008780002593994, 'q_mean': 28.290189743041992, 'num_update': 514416}
{'episode': 900, 'epsilon': 0.18181818181818182, 'ep_reward': 220.92957015196237, 'loss': 16.40260887145996, 'q_mean': 31.34719467163086, 'num_update': 587471}
{'episode': 1000, 'epsilon': 0.16666666666666666, 'ep_reward': 207.7575693942707, 'loss': 0.9021826386451721, 'q_mean': 32.67048645019531, 'num_update': 662297}
{'episode': 1100, 'epsilon': 0.15384615384615385, 'ep_reward': 244.582968305513, 'loss': 1.6130868196487427, 'q_mean': 33.56880187988281, 'num_update': 725942}
{'episode': 1200, 'epsilon': 0.14285714285714285, 'ep_reward': 224.84828627424332, 'loss': 2.639458179473877, 'q_mean': 35.69568634033203, 'num_update': 781001}
{'episode': 1300, 'epsilon': 0.13333333333333333, 'ep_reward': 238.67508015664149, 'loss': 12.722433090209961, 'q_mean': 36.55690002441406, 'num_update': 826222}
{'episode': 1400, 'epsilon': 0.125, 'ep_reward': 60.7521222863939, 'loss': 12.06454849243164, 'q_mean': 39.8874626159668, 'num_update': 867156}
{'episode': 1500, 'epsilon': 0.11764705882352941, 'ep_reward': 265.173867129537, 'loss': 0.9249001741409302, 'q_mean': 43.784088134765625, 'num_update': 908200}
{'episode': 1600, 'epsilon': 0.1111111111111111, 'ep_reward': 234.6023149137468, 'loss': 0.9717742204666138, 'q_mean': 49.65882873535156, 'num_update': 944167}
{'episode': 1700, 'epsilon': 0.10526315789473684, 'ep_reward': 258.3371609452484, 'loss': 9.356374740600586, 'q_mean': 51.32939910888672, 'num_update': 983490}
{'episode': 1800, 'epsilon': 0.1, 'ep_reward': 265.6979488109763, 'loss': 8.552931785583496, 'q_mean': 52.174015045166016, 'num_update': 1026895}
{'episode': 1900, 'epsilon': 0.09523809523809523, 'ep_reward': 258.0504408231154, 'loss': 8.51381778717041, 'q_mean': 54.01396942138672, 'num_update': 1067798}
{'episode': 2000, 'epsilon': 0.09090909090909091, 'ep_reward': 223.2321366606015, 'loss': 18.8382511138916, 'q_mean': 55.76509094238281, 'num_update': 1108656}
{'episode': 2100, 'epsilon': 0.08695652173913043, 'ep_reward': 271.5942383241747, 'loss': 7.01061487197876, 'q_mean': 56.82548904418945, 'num_update': 1144392}
{'episode': 2200, 'epsilon': 0.08333333333333333, 'ep_reward': 265.03111490089907, 'loss': 13.817522048950195, 'q_mean': 58.758262634277344, 'num_update': 1178101}
{'episode': 2300, 'epsilon': 0.08, 'ep_reward': 242.5732626712652, 'loss': 1.6169629096984863, 'q_mean': 59.91377258300781, 'num_update': 1211421}
{'episode': 2400, 'epsilon': 0.07692307692307693, 'ep_reward': 248.70004408959727, 'loss': 24.131744384765625, 'q_mean': 61.701744079589844, 'num_update': 1242985}
{'episode': 2500, 'epsilon': 0.07407407407407407, 'ep_reward': 270.204332907761, 'loss': 7.122487545013428, 'q_mean': 63.085697174072266, 'num_update': 1275184}
{'episode': 2600, 'epsilon': 0.07142857142857142, 'ep_reward': 285.0241412116396, 'loss': 1.039548397064209, 'q_mean': 62.833194732666016, 'num_update': 1308314}
{'episode': 2700, 'epsilon': 0.06896551724137931, 'ep_reward': 259.455734129339, 'loss': 20.84231185913086, 'q_mean': 64.66484832763672, 'num_update': 1339270}
{'episode': 2800, 'epsilon': 0.06666666666666667, 'ep_reward': 275.3778020301645, 'loss': 12.432878494262695, 'q_mean': 65.77051544189453, 'num_update': 1367681}
{'episode': 2900, 'epsilon': 0.06451612903225806, 'ep_reward': 267.6471928963831, 'loss': 0.7649781107902527, 'q_mean': 67.88104248046875, 'num_update': 1396577}
------ Training Finished ------
