
{'episode': 0, 'epsilon': 1.0, 'ep_reward': -223.979615851428}
{'episode': 100, 'epsilon': 0.6666666666666666, 'ep_reward': -172.32010934765526, 'loss': 71.771240234375, 'q_mean': -9.321029663085938, 'num_update': 10492}
{'episode': 200, 'epsilon': 0.5, 'ep_reward': -154.677436784096, 'loss': 70.29010009765625, 'q_mean': -13.040987014770508, 'num_update': 27645}
{'episode': 300, 'epsilon': 0.4, 'ep_reward': 22.825121038626563, 'loss': 16.05550193786621, 'q_mean': -8.827217102050781, 'num_update': 57808}
{'episode': 400, 'epsilon': 0.3333333333333333, 'ep_reward': -105.26219678712692, 'loss': 21.192537307739258, 'q_mean': 7.703042030334473, 'num_update': 127520}
{'episode': 500, 'epsilon': 0.2857142857142857, 'ep_reward': 45.507221816717475, 'loss': 3.6268625259399414, 'q_mean': 18.761964797973633, 'num_update': 220016}
{'episode': 600, 'epsilon': 0.25, 'ep_reward': 38.969538024198634, 'loss': 2.2083210945129395, 'q_mean': 27.174890518188477, 'num_update': 314073}
{'episode': 700, 'epsilon': 0.2222222222222222, 'ep_reward': 225.49615401757586, 'loss': 1.927929401397705, 'q_mean': 30.372817993164062, 'num_update': 405655}
{'episode': 800, 'epsilon': 0.2, 'ep_reward': 236.792114634067, 'loss': 16.35367774963379, 'q_mean': 35.3073616027832, 'num_update': 489010}
{'episode': 900, 'epsilon': 0.18181818181818182, 'ep_reward': 242.32430488510545, 'loss': 15.278090476989746, 'q_mean': 31.771596908569336, 'num_update': 563094}
{'episode': 1000, 'epsilon': 0.16666666666666666, 'ep_reward': 137.68111758036002, 'loss': 1.5201091766357422, 'q_mean': 31.673179626464844, 'num_update': 634300}
{'episode': 1100, 'epsilon': 0.15384615384615385, 'ep_reward': 219.10182112157275, 'loss': 0.7852421998977661, 'q_mean': 34.268585205078125, 'num_update': 706852}
{'episode': 1200, 'epsilon': 0.14285714285714285, 'ep_reward': 228.2522104837672, 'loss': 0.6265345811843872, 'q_mean': 37.621788024902344, 'num_update': 780858}
{'episode': 1300, 'epsilon': 0.13333333333333333, 'ep_reward': 214.94287116873826, 'loss': 0.7613431215286255, 'q_mean': 38.25910186767578, 'num_update': 845430}
{'episode': 1400, 'epsilon': 0.125, 'ep_reward': 236.82243795810072, 'loss': 11.89005184173584, 'q_mean': 41.117469787597656, 'num_update': 897336}
{'episode': 1500, 'epsilon': 0.11764705882352941, 'ep_reward': 258.3466209377085, 'loss': 10.087484359741211, 'q_mean': 41.08487319946289, 'num_update': 947117}
{'episode': 1600, 'epsilon': 0.1111111111111111, 'ep_reward': 245.32960440814702, 'loss': 0.9606876969337463, 'q_mean': 42.53660202026367, 'num_update': 996286}
{'episode': 1700, 'epsilon': 0.10526315789473684, 'ep_reward': 203.28867842496666, 'loss': 0.9419880509376526, 'q_mean': 44.42049789428711, 'num_update': 1041736}
{'episode': 1800, 'epsilon': 0.1, 'ep_reward': 205.25985933053192, 'loss': 1.2337260246276855, 'q_mean': 44.77870178222656, 'num_update': 1087647}
{'episode': 1900, 'epsilon': 0.09523809523809523, 'ep_reward': 43.816910417493716, 'loss': 0.710851788520813, 'q_mean': 46.99119567871094, 'num_update': 1131851}
{'episode': 2000, 'epsilon': 0.09090909090909091, 'ep_reward': 232.2159757714583, 'loss': 6.408121585845947, 'q_mean': 48.667457580566406, 'num_update': 1172727}
{'episode': 2100, 'epsilon': 0.08695652173913043, 'ep_reward': 245.80396988700994, 'loss': 6.217328071594238, 'q_mean': 51.534210205078125, 'num_update': 1212107}
{'episode': 2200, 'epsilon': 0.08333333333333333, 'ep_reward': 284.65631170858506, 'loss': 1.6849391460418701, 'q_mean': 54.02097702026367, 'num_update': 1251079}
{'episode': 2300, 'epsilon': 0.08, 'ep_reward': 241.54307278140197, 'loss': 1.6270380020141602, 'q_mean': 56.789833068847656, 'num_update': 1288161}
{'episode': 2400, 'epsilon': 0.07692307692307693, 'ep_reward': 235.4108141569122, 'loss': 1.2167248725891113, 'q_mean': 59.33290481567383, 'num_update': 1324667}
{'episode': 2500, 'epsilon': 0.07407407407407407, 'ep_reward': 230.49098645511654, 'loss': 8.896499633789062, 'q_mean': 62.90069580078125, 'num_update': 1359427}
{'episode': 2600, 'epsilon': 0.07142857142857142, 'ep_reward': 192.13275368363946, 'loss': 7.941034317016602, 'q_mean': 65.34872436523438, 'num_update': 1394924}
{'episode': 2700, 'epsilon': 0.06896551724137931, 'ep_reward': 272.349990355317, 'loss': 10.40070629119873, 'q_mean': 66.43656158447266, 'num_update': 1429134}
{'episode': 2800, 'epsilon': 0.06666666666666667, 'ep_reward': 251.9705844903888, 'loss': 16.17845344543457, 'q_mean': 67.14703369140625, 'num_update': 1462088}
{'episode': 2900, 'epsilon': 0.06451612903225806, 'ep_reward': 253.94736611973252, 'loss': 9.842696189880371, 'q_mean': 70.5709228515625, 'num_update': 1494843}
------ Training Finished ------
