
{'episode': 0, 'epsilon': 1.0, 'ep_reward': -216.6030640036281}
{'episode': 100, 'epsilon': 0.6666666666666666, 'ep_reward': -160.64476149273753, 'loss': 36.794158935546875, 'q_mean': -11.717523574829102, 'num_update': 10668}
{'episode': 200, 'epsilon': 0.5, 'ep_reward': -124.23807660111729, 'loss': 6.168210506439209, 'q_mean': -11.167999267578125, 'num_update': 27876}
{'episode': 300, 'epsilon': 0.4, 'ep_reward': -40.75314212951517, 'loss': 44.74577713012695, 'q_mean': 0.26974278688430786, 'num_update': 66573}
{'episode': 400, 'epsilon': 0.3333333333333333, 'ep_reward': -74.8930433342677, 'loss': 4.403149604797363, 'q_mean': 19.16147232055664, 'num_update': 152607}
{'episode': 500, 'epsilon': 0.2857142857142857, 'ep_reward': 33.699512940799025, 'loss': 2.483201742172241, 'q_mean': 30.156282424926758, 'num_update': 247172}
{'episode': 600, 'epsilon': 0.25, 'ep_reward': 104.5134282528771, 'loss': 6.025001525878906, 'q_mean': 30.905061721801758, 'num_update': 336515}
{'episode': 700, 'epsilon': 0.2222222222222222, 'ep_reward': 89.51352442596419, 'loss': 18.995967864990234, 'q_mean': 31.404861450195312, 'num_update': 425403}
{'episode': 800, 'epsilon': 0.2, 'ep_reward': -8.188254602625605, 'loss': 1.6065349578857422, 'q_mean': 31.099267959594727, 'num_update': 506839}
{'episode': 900, 'epsilon': 0.18181818181818182, 'ep_reward': 111.97830946203258, 'loss': 12.443048477172852, 'q_mean': 33.66075134277344, 'num_update': 578631}
{'episode': 1000, 'epsilon': 0.16666666666666666, 'ep_reward': 208.41594986635522, 'loss': 1.556004285812378, 'q_mean': 37.74980926513672, 'num_update': 637951}
{'episode': 1100, 'epsilon': 0.15384615384615385, 'ep_reward': 237.48351186976305, 'loss': 1.7637439966201782, 'q_mean': 41.64344024658203, 'num_update': 691900}
{'episode': 1200, 'epsilon': 0.14285714285714285, 'ep_reward': 191.6145888048982, 'loss': 2.669102430343628, 'q_mean': 39.36334991455078, 'num_update': 749692}
{'episode': 1300, 'epsilon': 0.13333333333333333, 'ep_reward': 271.6162789791698, 'loss': 1.6561415195465088, 'q_mean': 42.357078552246094, 'num_update': 804256}
{'episode': 1400, 'epsilon': 0.125, 'ep_reward': 320.17404733192893, 'loss': 1.427014708518982, 'q_mean': 43.29405975341797, 'num_update': 855112}
{'episode': 1500, 'epsilon': 0.11764705882352941, 'ep_reward': 262.4706520473786, 'loss': 1.539772391319275, 'q_mean': 45.00432586669922, 'num_update': 899122}
{'episode': 1600, 'epsilon': 0.1111111111111111, 'ep_reward': 264.2559380141039, 'loss': 91.33685302734375, 'q_mean': 44.211517333984375, 'num_update': 943266}
{'episode': 1700, 'epsilon': 0.10526315789473684, 'ep_reward': 281.8696306967694, 'loss': 12.153199195861816, 'q_mean': 46.84864807128906, 'num_update': 978997}
{'episode': 1800, 'epsilon': 0.1, 'ep_reward': 54.888754385255055, 'loss': 18.500871658325195, 'q_mean': 48.515533447265625, 'num_update': 1011745}
{'episode': 1900, 'epsilon': 0.09523809523809523, 'ep_reward': 239.44073209813533, 'loss': 8.912908554077148, 'q_mean': 50.99109649658203, 'num_update': 1045845}
{'episode': 2000, 'epsilon': 0.09090909090909091, 'ep_reward': 254.96066835973483, 'loss': 44.134033203125, 'q_mean': 54.53992462158203, 'num_update': 1075024}
{'episode': 2100, 'epsilon': 0.08695652173913043, 'ep_reward': 257.5308167471949, 'loss': 7.974687099456787, 'q_mean': 55.65507507324219, 'num_update': 1109198}
{'episode': 2200, 'epsilon': 0.08333333333333333, 'ep_reward': 218.94527159482448, 'loss': 13.094648361206055, 'q_mean': 56.950523376464844, 'num_update': 1141072}
{'episode': 2300, 'epsilon': 0.08, 'ep_reward': 294.51142106391643, 'loss': 7.88455867767334, 'q_mean': 57.75975799560547, 'num_update': 1179208}
{'episode': 2400, 'epsilon': 0.07692307692307693, 'ep_reward': 226.05772015631337, 'loss': 7.486379623413086, 'q_mean': 59.00077438354492, 'num_update': 1212250}
{'episode': 2500, 'epsilon': 0.07407407407407407, 'ep_reward': 230.41162465793735, 'loss': 1.1805393695831299, 'q_mean': 60.687347412109375, 'num_update': 1247581}
{'episode': 2600, 'epsilon': 0.07142857142857142, 'ep_reward': 238.5286565114879, 'loss': 25.207420349121094, 'q_mean': 62.35924530029297, 'num_update': 1279866}
{'episode': 2700, 'epsilon': 0.06896551724137931, 'ep_reward': 237.2226722982088, 'loss': 6.391883850097656, 'q_mean': 63.4765739440918, 'num_update': 1309246}
{'episode': 2800, 'epsilon': 0.06666666666666667, 'ep_reward': 265.44617135092074, 'loss': 7.2697906494140625, 'q_mean': 64.34119415283203, 'num_update': 1339808}
{'episode': 2900, 'epsilon': 0.06451612903225806, 'ep_reward': 2.203983772626003, 'loss': 11.304262161254883, 'q_mean': 67.0594482421875, 'num_update': 1370026}
------ Training Finished ------
