
{'episode': 0, 'epsilon': 1.0, 'ep_reward': -72.20023873076133}
{'episode': 100, 'epsilon': 0.6666666666666666, 'ep_reward': -157.94329588390218, 'loss': 37.42169189453125, 'q_mean': -10.594135284423828, 'num_update': 11277}
{'episode': 200, 'epsilon': 0.5, 'ep_reward': -60.63612184661625, 'loss': 24.484357833862305, 'q_mean': -15.367101669311523, 'num_update': 28231}
{'episode': 300, 'epsilon': 0.4, 'ep_reward': -26.184969327634008, 'loss': 102.62966918945312, 'q_mean': -7.350037574768066, 'num_update': 59722}
{'episode': 400, 'epsilon': 0.3333333333333333, 'ep_reward': 56.097215637418785, 'loss': 10.734870910644531, 'q_mean': 11.9063138961792, 'num_update': 136130}
{'episode': 500, 'epsilon': 0.2857142857142857, 'ep_reward': -35.06797655406067, 'loss': 2.9591259956359863, 'q_mean': 26.015655517578125, 'num_update': 224550}
{'episode': 600, 'epsilon': 0.25, 'ep_reward': 102.06735409512004, 'loss': 10.155769348144531, 'q_mean': 27.996627807617188, 'num_update': 316422}
{'episode': 700, 'epsilon': 0.2222222222222222, 'ep_reward': -80.93097696348826, 'loss': 3.832787036895752, 'q_mean': 30.285968780517578, 'num_update': 412111}
{'episode': 800, 'epsilon': 0.2, 'ep_reward': 74.0064012788048, 'loss': 4.114167213439941, 'q_mean': 30.325267791748047, 'num_update': 504862}
{'episode': 900, 'epsilon': 0.18181818181818182, 'ep_reward': -11.42771836750238, 'loss': 2.39890456199646, 'q_mean': 28.970447540283203, 'num_update': 570801}
{'episode': 1000, 'epsilon': 0.16666666666666666, 'ep_reward': 246.81959909488762, 'loss': 1.691965937614441, 'q_mean': 28.99811553955078, 'num_update': 653756}
{'episode': 1100, 'epsilon': 0.15384615384615385, 'ep_reward': 149.68017772435496, 'loss': 1.6442151069641113, 'q_mean': 27.267436981201172, 'num_update': 744996}
{'episode': 1200, 'epsilon': 0.14285714285714285, 'ep_reward': 125.63058076997078, 'loss': 2.0014822483062744, 'q_mean': 29.686491012573242, 'num_update': 821818}
{'episode': 1300, 'epsilon': 0.13333333333333333, 'ep_reward': 253.46908360157397, 'loss': 11.743388175964355, 'q_mean': 32.417240142822266, 'num_update': 889420}
{'episode': 1400, 'epsilon': 0.125, 'ep_reward': 194.92222084184812, 'loss': 3.650743007659912, 'q_mean': 34.262176513671875, 'num_update': 955079}
{'episode': 1500, 'epsilon': 0.11764705882352941, 'ep_reward': 236.69251231500692, 'loss': 29.846424102783203, 'q_mean': 34.52187728881836, 'num_update': 1015778}
{'episode': 1600, 'epsilon': 0.1111111111111111, 'ep_reward': 137.72053256502005, 'loss': 9.865602493286133, 'q_mean': 35.9312858581543, 'num_update': 1073697}
{'episode': 1700, 'epsilon': 0.10526315789473684, 'ep_reward': 267.6007208090152, 'loss': 1.4656038284301758, 'q_mean': 36.679962158203125, 'num_update': 1141312}
{'episode': 1800, 'epsilon': 0.1, 'ep_reward': 178.3841134526057, 'loss': 18.776052474975586, 'q_mean': 38.240318298339844, 'num_update': 1205967}
{'episode': 1900, 'epsilon': 0.09523809523809523, 'ep_reward': 185.44394196170708, 'loss': 27.73663330078125, 'q_mean': 39.946876525878906, 'num_update': 1261052}
{'episode': 2000, 'epsilon': 0.09090909090909091, 'ep_reward': 265.2882248016515, 'loss': 8.180294036865234, 'q_mean': 40.83076095581055, 'num_update': 1312441}
{'episode': 2100, 'epsilon': 0.08695652173913043, 'ep_reward': 207.7973537707253, 'loss': 6.4309234619140625, 'q_mean': 41.589134216308594, 'num_update': 1369026}
{'episode': 2200, 'epsilon': 0.08333333333333333, 'ep_reward': 236.07456697049255, 'loss': 7.075839996337891, 'q_mean': 40.512821197509766, 'num_update': 1417892}
{'episode': 2300, 'epsilon': 0.08, 'ep_reward': 278.59815449267643, 'loss': 9.554598808288574, 'q_mean': 44.317222595214844, 'num_update': 1464524}
{'episode': 2400, 'epsilon': 0.07692307692307693, 'ep_reward': 249.47929489399093, 'loss': 10.876876831054688, 'q_mean': 45.464996337890625, 'num_update': 1511146}
{'episode': 2500, 'epsilon': 0.07407407407407407, 'ep_reward': 248.5693498392337, 'loss': 4.942563056945801, 'q_mean': 46.715240478515625, 'num_update': 1554896}
{'episode': 2600, 'epsilon': 0.07142857142857142, 'ep_reward': 236.40572260680332, 'loss': 5.8735809326171875, 'q_mean': 50.59314727783203, 'num_update': 1592710}
{'episode': 2700, 'epsilon': 0.06896551724137931, 'ep_reward': 276.59910471040223, 'loss': 1.1384844779968262, 'q_mean': 54.59590148925781, 'num_update': 1630609}
{'episode': 2800, 'epsilon': 0.06666666666666667, 'ep_reward': -473.51004065362343, 'loss': 5.432394027709961, 'q_mean': 55.995323181152344, 'num_update': 1666812}
{'episode': 2900, 'epsilon': 0.06451612903225806, 'ep_reward': 258.81311493656415, 'loss': 1.9087631702423096, 'q_mean': 57.746238708496094, 'num_update': 1706442}
------ Training Finished ------
