
{'episode': 0, 'epsilon': 1.0, 'ep_reward': -111.57616813076667}
{'episode': 100, 'epsilon': 0.6666666666666666, 'ep_reward': -442.324868628661, 'loss': 48.120635986328125, 'q_mean': -8.173477172851562, 'num_update': 10808}
{'episode': 200, 'epsilon': 0.5, 'ep_reward': -35.76600468108795, 'loss': 20.866065979003906, 'q_mean': -12.214105606079102, 'num_update': 31072}
{'episode': 300, 'epsilon': 0.4, 'ep_reward': -0.27292237305007827, 'loss': 6.398658752441406, 'q_mean': -3.859163284301758, 'num_update': 61339}
{'episode': 400, 'epsilon': 0.3333333333333333, 'ep_reward': 32.31282385241031, 'loss': 4.37187385559082, 'q_mean': 14.089885711669922, 'num_update': 138315}
{'episode': 500, 'epsilon': 0.2857142857142857, 'ep_reward': 84.32916866694575, 'loss': 3.5834641456604004, 'q_mean': 28.17966651916504, 'num_update': 233598}
{'episode': 600, 'epsilon': 0.25, 'ep_reward': 85.12459853365307, 'loss': 4.6022539138793945, 'q_mean': 31.237045288085938, 'num_update': 329318}
{'episode': 700, 'epsilon': 0.2222222222222222, 'ep_reward': 58.86140033119872, 'loss': 17.956378936767578, 'q_mean': 33.88902282714844, 'num_update': 425830}
{'episode': 800, 'epsilon': 0.2, 'ep_reward': 258.9632474178622, 'loss': 2.6623406410217285, 'q_mean': 32.34080505371094, 'num_update': 513496}
{'episode': 900, 'epsilon': 0.18181818181818182, 'ep_reward': 118.09078630787872, 'loss': 15.336774826049805, 'q_mean': 30.61039924621582, 'num_update': 594870}
{'episode': 1000, 'epsilon': 0.16666666666666666, 'ep_reward': 168.27154160317693, 'loss': 3.1077699661254883, 'q_mean': 32.08433151245117, 'num_update': 671736}
{'episode': 1100, 'epsilon': 0.15384615384615385, 'ep_reward': 246.11212561240842, 'loss': 1.67244553565979, 'q_mean': 35.025856018066406, 'num_update': 746501}
{'episode': 1200, 'epsilon': 0.14285714285714285, 'ep_reward': 167.79806909584428, 'loss': 1.287444829940796, 'q_mean': 34.708770751953125, 'num_update': 821956}
{'episode': 1300, 'epsilon': 0.13333333333333333, 'ep_reward': 217.77421836222453, 'loss': 11.796024322509766, 'q_mean': 34.630523681640625, 'num_update': 886849}
{'episode': 1400, 'epsilon': 0.125, 'ep_reward': 88.98375800845321, 'loss': 1.0881333351135254, 'q_mean': 37.44978332519531, 'num_update': 939643}
{'episode': 1500, 'epsilon': 0.11764705882352941, 'ep_reward': 254.7952806200563, 'loss': 22.095474243164062, 'q_mean': 39.164852142333984, 'num_update': 988498}
{'episode': 1600, 'epsilon': 0.1111111111111111, 'ep_reward': 233.32827840086384, 'loss': 1.0622081756591797, 'q_mean': 40.53046417236328, 'num_update': 1036992}
{'episode': 1700, 'epsilon': 0.10526315789473684, 'ep_reward': 248.02613267262072, 'loss': 12.446746826171875, 'q_mean': 42.65380859375, 'num_update': 1082903}
{'episode': 1800, 'epsilon': 0.1, 'ep_reward': 281.27772382750175, 'loss': 9.31836223602295, 'q_mean': 46.48883819580078, 'num_update': 1126337}
{'episode': 1900, 'epsilon': 0.09523809523809523, 'ep_reward': 277.78296152885554, 'loss': 9.266579627990723, 'q_mean': 48.22186279296875, 'num_update': 1170500}
{'episode': 2000, 'epsilon': 0.09090909090909091, 'ep_reward': 229.7016165500336, 'loss': 7.395608901977539, 'q_mean': 49.86992263793945, 'num_update': 1212143}
{'episode': 2100, 'epsilon': 0.08695652173913043, 'ep_reward': 188.4749547203103, 'loss': 3.555192470550537, 'q_mean': 53.88296127319336, 'num_update': 1252288}
{'episode': 2200, 'epsilon': 0.08333333333333333, 'ep_reward': 260.9854089965427, 'loss': 67.2063980102539, 'q_mean': 56.27804183959961, 'num_update': 1291173}
{'episode': 2300, 'epsilon': 0.08, 'ep_reward': 229.42831752355704, 'loss': 7.811574459075928, 'q_mean': 59.45787811279297, 'num_update': 1326653}
{'episode': 2400, 'epsilon': 0.07692307692307693, 'ep_reward': 273.0784215433313, 'loss': 1.6947165727615356, 'q_mean': 63.40184020996094, 'num_update': 1359757}
{'episode': 2500, 'epsilon': 0.07407407407407407, 'ep_reward': 254.38104662408685, 'loss': 10.414093971252441, 'q_mean': 66.51420593261719, 'num_update': 1387995}
{'episode': 2600, 'epsilon': 0.07142857142857142, 'ep_reward': 267.36008281548584, 'loss': 6.787188529968262, 'q_mean': 69.72410583496094, 'num_update': 1415997}
{'episode': 2700, 'epsilon': 0.06896551724137931, 'ep_reward': 276.9975529178464, 'loss': 54.222564697265625, 'q_mean': 68.62101745605469, 'num_update': 1446136}
{'episode': 2800, 'epsilon': 0.06666666666666667, 'ep_reward': 227.9975685296895, 'loss': 1.1439152956008911, 'q_mean': 71.5147705078125, 'num_update': 1475604}
{'episode': 2900, 'epsilon': 0.06451612903225806, 'ep_reward': 282.70760345454596, 'loss': 6.955422401428223, 'q_mean': 71.46205139160156, 'num_update': 1505621}
------ Training Finished ------
