
{'episode': 0, 'epsilon': 1.0, 'ep_reward': -69.47557763946614}
{'episode': 100, 'epsilon': 0.6666666666666666, 'ep_reward': -116.85014363795358, 'loss': 20.046733856201172, 'q_mean': -11.978472709655762, 'num_update': 10707}
{'episode': 200, 'epsilon': 0.5, 'ep_reward': -124.7030898635196, 'loss': 23.61337661743164, 'q_mean': -11.14813232421875, 'num_update': 31187}
{'episode': 300, 'epsilon': 0.4, 'ep_reward': -4.917094137559971, 'loss': 12.9993896484375, 'q_mean': 0.7608568072319031, 'num_update': 67759}
{'episode': 400, 'epsilon': 0.3333333333333333, 'ep_reward': -36.46337754350233, 'loss': 7.522707462310791, 'q_mean': 14.30419921875, 'num_update': 157694}
{'episode': 500, 'epsilon': 0.2857142857142857, 'ep_reward': 128.8845818334322, 'loss': 18.464786529541016, 'q_mean': 27.072235107421875, 'num_update': 252839}
{'episode': 600, 'epsilon': 0.25, 'ep_reward': 62.222286484257815, 'loss': 12.270360946655273, 'q_mean': 28.373809814453125, 'num_update': 347804}
{'episode': 700, 'epsilon': 0.2222222222222222, 'ep_reward': 228.5634293881764, 'loss': 14.415563583374023, 'q_mean': 35.085975646972656, 'num_update': 434536}
{'episode': 800, 'epsilon': 0.2, 'ep_reward': 178.15363367624695, 'loss': 1.7169299125671387, 'q_mean': 37.120853424072266, 'num_update': 521320}
{'episode': 900, 'epsilon': 0.18181818181818182, 'ep_reward': 246.8138655540714, 'loss': 15.447054862976074, 'q_mean': 31.957780838012695, 'num_update': 601309}
{'episode': 1000, 'epsilon': 0.16666666666666666, 'ep_reward': 125.30106933650622, 'loss': 1.0145426988601685, 'q_mean': 34.26893997192383, 'num_update': 666381}
{'episode': 1100, 'epsilon': 0.15384615384615385, 'ep_reward': 210.094314162213, 'loss': 14.290139198303223, 'q_mean': 33.76547622680664, 'num_update': 718702}
{'episode': 1200, 'epsilon': 0.14285714285714285, 'ep_reward': 198.88211705144283, 'loss': 10.706804275512695, 'q_mean': 38.35424041748047, 'num_update': 768175}
{'episode': 1300, 'epsilon': 0.13333333333333333, 'ep_reward': 281.0735240284225, 'loss': 1.323500633239746, 'q_mean': 40.13602828979492, 'num_update': 813534}
{'episode': 1400, 'epsilon': 0.125, 'ep_reward': 263.47666176457074, 'loss': 11.32184886932373, 'q_mean': 42.47887420654297, 'num_update': 870022}
{'episode': 1500, 'epsilon': 0.11764705882352941, 'ep_reward': 253.7870251211296, 'loss': 1.1562795639038086, 'q_mean': 46.14402770996094, 'num_update': 917476}
{'episode': 1600, 'epsilon': 0.1111111111111111, 'ep_reward': 271.7018170619182, 'loss': 13.102273941040039, 'q_mean': 44.37727355957031, 'num_update': 956246}
{'episode': 1700, 'epsilon': 0.10526315789473684, 'ep_reward': 264.5351643647107, 'loss': 1.4136145114898682, 'q_mean': 46.293479919433594, 'num_update': 992289}
{'episode': 1800, 'epsilon': 0.1, 'ep_reward': 274.89493728507057, 'loss': 15.964899063110352, 'q_mean': 52.245750427246094, 'num_update': 1022332}
{'episode': 1900, 'epsilon': 0.09523809523809523, 'ep_reward': -21.9343368801309, 'loss': 18.249469757080078, 'q_mean': 52.75645446777344, 'num_update': 1057599}
{'episode': 2000, 'epsilon': 0.09090909090909091, 'ep_reward': 253.61179098031315, 'loss': 28.962833404541016, 'q_mean': 55.9825325012207, 'num_update': 1095357}
{'episode': 2100, 'epsilon': 0.08695652173913043, 'ep_reward': 243.4404050332616, 'loss': 7.876980304718018, 'q_mean': 57.46890640258789, 'num_update': 1127439}
{'episode': 2200, 'epsilon': 0.08333333333333333, 'ep_reward': 244.89870613162037, 'loss': 20.57842254638672, 'q_mean': 62.344459533691406, 'num_update': 1157103}
{'episode': 2300, 'epsilon': 0.08, 'ep_reward': 220.24878836690857, 'loss': 1.9192228317260742, 'q_mean': 62.797584533691406, 'num_update': 1186732}
{'episode': 2400, 'epsilon': 0.07692307692307693, 'ep_reward': 253.5669229019751, 'loss': 25.92462921142578, 'q_mean': 61.18109893798828, 'num_update': 1217444}
{'episode': 2500, 'epsilon': 0.07407407407407407, 'ep_reward': 250.32712413812902, 'loss': 17.426939010620117, 'q_mean': 64.50180053710938, 'num_update': 1250490}
{'episode': 2600, 'epsilon': 0.07142857142857142, 'ep_reward': 265.0325118524095, 'loss': 11.512056350708008, 'q_mean': 65.0517578125, 'num_update': 1280538}
{'episode': 2700, 'epsilon': 0.06896551724137931, 'ep_reward': 281.8698846382078, 'loss': 1.5386074781417847, 'q_mean': 69.08299255371094, 'num_update': 1310203}
{'episode': 2800, 'epsilon': 0.06666666666666667, 'ep_reward': 235.9493522774478, 'loss': 4.912595748901367, 'q_mean': 70.5252456665039, 'num_update': 1338319}
{'episode': 2900, 'epsilon': 0.06451612903225806, 'ep_reward': 273.4429070185732, 'loss': 7.00629186630249, 'q_mean': 71.40528869628906, 'num_update': 1365394}
------ Training Finished ------
